id_empleado,nombre,apellido,dni,cargo,fecha_ingreso,email,telefono,salario
1,Mariana,Suárez,28456321,Vendedora,2022-03-15,mariana.suarez@tienda.com,3881029456,$550.000
2,Julián,López,30123456,Cajero,2023-01-20,julian.lopez@tienda.com,3881940273,$520.000
3,Camila,Ferreyra,27322111,Encargada,2021-11-01,camila.ferreyra@tienda.com,3882058371,$850.000
4,Matías,Paz,32654109,Vendedor,2022-08-10,matias.paz@tienda.com,3882184930,$550.000
5,Florencia,Rossi,33877654,Vendedora,2023-05-12,florencia.rossi@tienda.com,3882345907,$550.000
6,Santiago,Martínez,29900871,Cajero,2023-02-01,santiago.martinez@tienda.com,3882456719,$520.000
7,Agustina,Gómez,31122544,Vendedora,2022-06-30,agustina.gomez@tienda.com,3882569043,$550.000
8,Valentino,Rivero,27455777,Depósito,2021-12-01,valentino.rivero@tienda.com,3882673180,$500.000
9,Rocío,Luna,33114000,Administración,2020-11-15,rocio.luna@tienda.com,3882784506,$700.000
10,Ezequiel,Farias,29567890,Cajero,2023-03-20,ezequiel.farias@tienda.com,3882891347,$520.000
11,Tatiana,Sosa,31222011,Vendedora,2022-09-01,tatiana.sosa@tienda.com,3883015728,$550.000
12,Lucas,Pérez,28987654,Vendedor,2023-04-15,lucas.perez@tienda.com,3883129054,$550.000
13,Carla,Molina,31456789,Cajera,2022-10-22,carla.molina@tienda.com,3883248610,$520.000
14,Nicolás,Benítez,28445566,Depósito,2021-07-14,nicolas.benitez@tienda.com,3883352794,$500.000
15,Eliana,Ruiz,30112000,Administración,2020-05-10,eliana.ruiz@tienda.com,3883471905,$700.000
16,Damián,Torres,29770001,Encargado,2019-03-01,damian.torres@tienda.com,3883584209,$850.000
17,Noelia,Arias,33665432,Cajera,2023-06-20,noelia.arias@tienda.com,3883695841,$520.000
18,Ramiro,Quiroga,30222222,Vendedor,2021-01-10,ramiro.quiroga@tienda.com,3885270134,$550.000
19,Milagros,Castro,31990011,Vendedora,2022-05-18,milagros.castro@tienda.com,3883709125,$550.000
20,Pedro,Santillán,28777666,Depósito,2020-10-01,pedro.santillan@tienda.com,3883810457,$500.000
21,Lucía,Bustos,32655443,Vendedora,2023-02-10,lucia.bustos@tienda.com,3885159028,$550.000
22,Joaquín,Fernández,29441100,Cajero,2021-08-11,joaquin.fernandez@tienda.com,3885048267,$520.000
23,Emilia,Rivas,30998877,Encargada,2022-01-01,emilia.rivas@tienda.com,3884937542,$850.000
24,Valeria,Peralta,27890123,Administración,2019-12-12,valeria.peralta@tienda.com,3883926084,$700.000
25,Gonzalo,Herrera,30098765,Vendedor,2022-09-15,gonzalo.herrera@tienda.com,3884037192,$550.000
26,Ariadna,Vega,32900123,Vendedora,2023-07-02,ariadna.vega@tienda.com,3884152830,$550.000
27,Martín,Paredes,31234009,Depósito,2021-04-14,martin.paredes@tienda.com,3884487093,$500.000
28,Bárbara,Núñez,29455678,Vendedora,2023-03-05,barbara.nunez@tienda.com,3884826139,$550.000
29,Iván,Rodríguez,28345200,Encargado,2021-02-25,ivan.rodriguez@tienda.com,3884269501,$850.000
30,Julieta,López,31888877,Vendedora,2022-07-20,julieta.lopez@tienda.com,3884376218,$550.000
31,Federico,Moreno,30555555,Cajero,2023-05-01,federico.moreno@tienda.com,3884598370,$520.000
32,Camilo,Díaz,31666123,Vendedor,2022-11-09,camilo.diaz@tienda.com,3884709206,$550.000
